scope,company_code,company_name,seconds
2026-09-03T07:11:59,TCS,Tata Consultancy Services,2.942
2026-09-03T07:11:59,INFY,Infosys,7.211
2026-09-03T07:11:59,WIPRO,Wipro,1.469
2026-09-03T07:11:59,HCLTECH,HCL Technologies,1.897
2026-09-03T07:11:59,TECHM,Tech Mahindra,2.522
2026-09-03T07:11:59,LTIM,LTIMindtree,3.859
2026-09-03T07:11:59,MPHASIS,Mphasis,98.257
2026-09-03T07:11:59,PERSISTENT,Persistent Systems,1.384
2026-09-03T07:11:59,COFORGE,Coforge,2.334
2026-09-03T07:11:59,LTTS,L&T Technology Services,4.005
2026-09-03T07:11:59,TATAELXSI,Tata Elxsi,3.030
2026-09-03T07:11:59,OFSS,Oracle Financial Services Software,1.657
2026-09-03T07:11:59,KPITTECH,KPIT Technologies,1.773
2026-09-03T07:11:59,CYIENT,Cyient,5.710
2026-09-03T07:11:59,BSOFT,Birlasoft,2.361
2026-09-03T07:11:59,ZENSARTECH,Zensar Technologies,1.690
2026-09-03T07:11:59,TATATECH,Tata Technologies,2.320
2026-09-03T07:11:59,HAPPSTMNDS,Happiest Minds Technologies,1.277
2026-09-03T07:11:59,SONATSOFTW,Sonata Software,291.353
2026-09-03T07:11:59,HEXAWARE,Hexaware Technologies,16.204
2026-09-03T07:11:59,MINDTREE,Mindtree (legacy symbol),13.324
2026-09-03T07:11:59,NEWGEN,Newgen Software Technologies,16.389
2026-09-03T07:11:59,TANLA,Tanla Platforms,9.500
2026-09-03T07:11:59,INTELLECT,Intellect Design Arena,13.108
2026-09-03T07:11:59,ROUTE,Route Mobile,6.992
2026-09-03T07:11:59,RATEGAIN,RateGain Travel Technologies,29.917
2026-09-03T07:11:59,ECLERX,eClerx Services,8.281
2026-09-03T07:11:59,DATAMATICS,Datamatics Global Services,33.965
2026-09-03T07:11:59,MASTEK,Mastek,35.840
2026-09-03T07:11:59,SONACOMS,Sona BLW Precision Forgings,6.077
2026-09-03T07:11:59,HGS,Hinduja Global Solutions,277.727
2026-09-03T07:11:59,NIITLTD,NIIT,9.408
2026-09-03T07:11:59,E2E,E2E Networks,1.303
2026-09-03T07:11:59,AFFLE,Affle India,6.022
2026-09-03T07:11:59,MPSLTD,MPS,7.079
2026-09-03T07:11:59,SUBEXLTD,Subex,5.969
2026-09-03T07:11:59,SIS,Security and Intelligence Services,5.660
2026-09-03T07:11:59,ZOMATO,Eternal (formerly Zomato),6.739
2026-09-03T07:11:59,PAYTM,One 97 Communications,5.885
2026-09-03T07:11:59,POLICYBZR,PB Fintech,7.393
2026-09-03T07:11:59,DELHIVERY,Delhivery,5.854
2026-09-03T07:11:59,NAZARA,Nazara Technologies,6.723
2026-09-03T07:11:59,TATACOMM,Tata Communications,5.311
2026-09-03T07:11:59,INDUSTOWER,Indus Towers,8.865
2026-09-03T07:11:59,BHARTIARTL,Bharti Airtel,7.510
2026-09-03T07:11:59,TEJASNET,Tejas Networks,13.898
2026-09-03T07:11:59,REDINGTON,Redington,9.749
2026-09-03T07:11:59,HCL-INFO,HCL Infosystems,2.039
2026-09-03T07:11:59,MAZDOCK,Mazagon Dock Shipbuilders,6.688
2026-09-03T07:11:59,TITAN,Titan Company,10.288
OVERALL,ALL,All companies,1036.865
2026-09-03T07:34:04,TCS,Tata Consultancy Services,2.750
2026-09-03T07:34:04,INFY,Infosys,7.411
2026-09-03T07:34:04,WIPRO,Wipro,1.447
2026-09-03T07:34:04,HCLTECH,HCL Technologies,1.462
2026-09-03T07:34:04,TECHM,Tech Mahindra,2.706
2026-09-03T07:34:04,LTIM,LTIMindtree,4.179
2026-09-03T07:34:04,MPHASIS,Mphasis,79.067
2026-09-03T07:34:04,PERSISTENT,Persistent Systems,0.726
2026-09-03T07:34:04,COFORGE,Coforge,1.060
2026-09-03T07:34:04,LTTS,L&T Technology Services,1.856
2026-09-03T07:34:04,TATAELXSI,Tata Elxsi,1.519
2026-09-03T07:34:04,OFSS,Oracle Financial Services Software,0.965
