company_code,company_name,financial_year,priority,source,url
TCS,Tata Consultancy Services,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_27052025233643_BRSRSEint27052025_signed.pdf
INFY,Infosys,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/Infosys_02062025172921_infosys-ar-2025.pdf
WIPRO,Wipro,2024-25,1,NSE,
WIPRO,Wipro,2024-25,2,BSE,
WIPRO,Wipro,2024-25,3,Wipro Official,https://www.wipro.com/content/dam/nexus/en/investor/annual-reports/2024-2025/Integrated-annual-report-2024-25.pdf
HCLTECH,HCL Technologies,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/HCLTECH_02082025204043_BRSR_2024-25.pdf
TECHM,Tech Mahindra,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/Apekshakhemka_23062025233414_StockExchangeIntimationBRSR_S.pdf
LTIM,LTIMindtree,2024-25,1,NSE BRSR,AUTO
LTIM,LTIMindtree,2024-25,2,NSE Annual Report,https://nsearchives.nseindia.com/annual_reports/AR_26433_LTIM_2024_2025_A_07052025121730.pdf
LTIM,LTIMindtree,2024-25,3,BSE,
LTIM,LTIMindtree,2024-25,4,LTIMindtree Official,
MPHASIS,Mphasis,2024-25,1,NSE,https://nsearchives.nseindia.com/annual_reports/AR_26670_MPHASIS_2024_2025_A_01072025190655.pdf
PERSISTENT,Persistent Systems,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/PERSISTENTUSER1_23062025235235_PSLBusinessResponsibilityandSustainabilityReport2025signed.pdf
COFORGE,Coforge,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/COFORGE_28082025220019_BRSR_Intimation.pdf
LTTS,L&T Technology Services,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/LTTS_23052025212838_IntimationAnnualReport2025_DSC.pdf
TATAELXSI,Tata Elxsi,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/TELNSE_29052025183519_TELBRSRFY25.pdf
OFSS,Oracle Financial Services Software,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/OFSS_27062025192524_OFSSLettertoSEBRSR2025.pdf
KPITTECH,KPIT Technologies,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/KPITTECH_10072025175501_KPITBRSR2425_Signed.pdf
CYIENT,Cyient,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/CYIENT_24062025190008_24062025Annualreportsigned.pdf
BSOFT,Birlasoft,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/BSOFT_11072025145110_SEIntimationBRSR.pdf
ZENSARTECH,Zensar Technologies,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/ZENSARTECH_01072025181715_SEIntimationBRSRF.pdf
TATATECH,Tata Technologies,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/TTLNSE_28052025200521_BRSR.pdf
HAPPSTMNDS,Happiest Minds Technologies,2024-25,1,NSE,
HAPPSTMNDS,Happiest Minds Technologies,2024-25,2,BSE,
HAPPSTMNDS,Happiest Minds Technologies,2024-25,3,Happiest Minds Official,https://www.happiestminds.com/investors/Annual%20Report/2024-2025-Q4/HappiestMindsBRSR04072025.pdf
SONATSOFTW,Sonata Software,2024-25,1,NSE,https://nsearchives.nseindia.com/corporate/SONATSOFTW_04072025194537_Sefilingbrsr.pdf
HEXAWARE,Hexaware Technologies,2024-25,1,NSE,
HEXAWARE,Hexaware Technologies,2024-25,2,BSE,
HEXAWARE,Hexaware Technologies,2024-25,3,Hexaware Official,
