company_code,company_name,ticker,headquarters_city,search_alias
TCS,Tata Consultancy Services,TCS.NS,Mumbai,tcs
INFY,Infosys,INFY.NS,Bengaluru,infosys
WIPRO,Wipro,WIPRO.NS,Bengaluru,wipro
HCLTECH,HCL Technologies,HCLTECH.NS,Noida,hcl technologies
TECHM,Tech Mahindra,TECHM.NS,Pune,tech mahindra
LTIM,LTIMindtree,LTIM.NS,Mumbai,ltimindtree
MPHASIS,Mphasis,MPHASIS.NS,Bengaluru,mphasis
PERSISTENT,Persistent Systems,PERSISTENT.NS,Pune,persistent systems
COFORGE,Coforge,COFORGE.NS,Noida,coforge
LTTS,L&T Technology Services,LTTS.NS,Vadodara,l&t technology services
TATAELXSI,Tata Elxsi,TATAELXSI.NS,Bengaluru,tata elxsi
OFSS,Oracle Financial Services Software,OFSS.NS,Mumbai,oracle financial services software
KPITTECH,KPIT Technologies,KPITTECH.NS,Pune,kpit technologies
CYIENT,Cyient,CYIENT.NS,Hyderabad,cyient
BSOFT,Birlasoft,BSOFT.NS,Noida,birlasoft
ZENSARTECH,Zensar Technologies,ZENSARTECH.NS,Pune,zensar technologies
TATATECH,Tata Technologies,TATATECH.NS,Pune,tata technologies
HAPPSTMNDS,Happiest Minds Technologies,HAPPSTMNDS.NS,Bengaluru,happiest minds
SONATSOFTW,Sonata Software,SONATSOFTW.NS,Bengaluru,sonata software
HEXAWARE,Hexaware Technologies,HEXAWARE.NS,Navi Mumbai,hexaware
MINDTREE,Mindtree (legacy symbol),LTIM.NS,Bengaluru,mindtree
NEWGEN,Newgen Software Technologies,NEWGEN.NS,New Delhi,newgen software
TANLA,Tanla Platforms,TANLA.NS,Hyderabad,tanla platforms
INTELLECT,Intellect Design Arena,INTELLECT.NS,Chennai,intellect design arena
ROUTE,Route Mobile,ROUTE.NS,Mumbai,route mobile
RATEGAIN,RateGain Travel Technologies,RATEGAIN.NS,Noida,rategain
ECLERX,eClerx Services,ECLERX.NS,Mumbai,eclerx
DATAMATICS,Datamatics Global Services,DATAMATICS.NS,Mumbai,datamatics
MASTEK,Mastek,MASTEK.NS,Mumbai,mastek
SONACOMS,Sona BLW Precision Forgings,SONACOMS.NS,Gurugram,sona blw
HGS,Hinduja Global Solutions,HGS.NS,Bengaluru,hinduja global solutions
NIITLTD,NIIT,NIITLTD.NS,Gurugram,niit
E2E,E2E Networks,E2E.NS,New Delhi,e2e networks
AFFLE,Affle India,AFFLE.NS,Mumbai,affle
MPSLTD,MPS,MPSLTD.NS,Noida,mps
SUBEXLTD,Subex,SUBEXLTD.NS,Bengaluru,subex
SIS,Security and Intelligence Services,SIS.NS,New Delhi,security and intelligence services
ZOMATO,Eternal (formerly Zomato),ETERNAL.NS,Gurugram,eternal
PAYTM,One 97 Communications,PAYTM.NS,Noida,paytm
POLICYBZR,PB Fintech,POLICYBZR.NS,Gurugram,pb fintech
DELHIVERY,Delhivery,DELHIVERY.NS,Gurugram,delhivery
NAZARA,Nazara Technologies,NAZARA.NS,Mumbai,nazara technologies
TATACOMM,Tata Communications,TATACOMM.NS,Mumbai,tata communications
INDUSTOWER,Indus Towers,INDUSTOWER.NS,Gurugram,indus towers
BHARTIARTL,Bharti Airtel,BHARTIARTL.NS,New Delhi,bharti airtel
TEJASNET,Tejas Networks,TEJASNET.NS,Bengaluru,tejas networks
REDINGTON,Redington,REDINGTON.NS,Chennai,redington
HCL-INFO,HCL Infosystems,HCL-INSYS.NS,Noida,hcl infosystems
MAZDOCK,Mazagon Dock Shipbuilders,MAZDOCK.NS,Mumbai,mazagon dock
TITAN,Titan Company,TITAN.NS,Bengaluru,titan
