Company_Code,Company_Name,Location_Type,City,Area,Avg_AQI,Max_AQI,Min_AQI,Environmental_Risk_Score,Risk_Level,Data_Records,Analysis_Date
TCS,Tata Consultancy Services,Headquarters,Mumbai,Fort,253.3190528332877,500.0,0.0,2.0,Very High,3653,2026-09-03
TCS,Tata Consultancy Services,Major Office,Mumbai,Andheri East,253.3190528332877,500.0,0.0,2.0,Very High,3653,2026-09-03
TCS,Tata Consultancy Services,Major Office,Bangalore,Electronic City,249.76739666027925,499.9,0.1,2.0,Very High,3653,2026-09-03
TCS,Tata Consultancy Services,Major Office,Pune,Hinjewadi,,,,,,0,2026-09-03
TCS,Tata Consultancy Services,Major Office,Chennai,Sholinganallur,250.33876266082672,499.8,0.3,2.0,Very High,3653,2026-09-03
TCS,Tata Consultancy Services,Major Office,Hyderabad,Gachibowli,,,,,,0,2026-09-03
TCS,Tata Consultancy Services,Major Office,Noida,Sector 62,,,,,,0,2026-09-03
INFY,Infosys,Headquarters,Bangalore,Electronics City,249.76739666027925,499.9,0.1,2.0,Very High,3653,2026-09-03
INFY,Infosys,Major Office,Pune,Hinjewadi,,,,,,0,2026-09-03
INFY,Infosys,Major Office,Chennai,Mahindra World City,250.33876266082672,499.8,0.3,2.0,Very High,3653,2026-09-03
INFY,Infosys,Major Office,Hyderabad,HITEC City,,,,,,0,2026-09-03
INFY,Infosys,Major Office,Mysore,Infosys Campus,,,,,,0,2026-09-03
INFY,Infosys,Major Office,Mumbai,Powai,253.3190528332877,500.0,0.0,2.0,Very High,3653,2026-09-03
INFY,Infosys,Major Office,Noida,Sector 135,,,,,,0,2026-09-03
WIPRO,Wipro,Headquarters,Bangalore,Sarjapur Road,249.76739666027925,499.9,0.1,2.0,Very High,3653,2026-09-03
WIPRO,Wipro,Major Office,Bangalore,Electronic City,249.76739666027925,499.9,0.1,2.0,Very High,3653,2026-09-03
WIPRO,Wipro,Major Office,Mumbai,Goregaon East,253.3190528332877,500.0,0.0,2.0,Very High,3653,2026-09-03
