Company_Code,Company_Name,PDF_Pages,PDF_Size_MB,Text_Extraction_Seconds,Keyword_Indexing_Seconds,Candidate_Page_Seconds,Table_Extraction_Seconds,Metric_Extraction_Seconds,Validation_Seconds,Company_Total_Seconds,Metrics_Total,Metrics_Extracted,Metrics_Not_Found,Status
TCS,Tata Consultancy Services,43,2.264,0.445,0.009,0.0,12.255,0.072,0.0,12.8,18,11,7,COMPLETED
INFY,Infosys,369,7.213,0.411,0.029,0.0,5.982,0.079,0.0,6.508,18,8,10,COMPLETED
WIPRO,Wipro,51,0.51,0.21,0.009,0.0,5.287,0.073,0.0,5.588,18,9,9,COMPLETED
HCLTECH,HCL Technologies,69,4.771,0.247,0.007,0.0,5.062,0.092,0.0,5.416,18,7,11,COMPLETED
TECHM,Tech Mahindra,43,1.435,0.347,0.016,0.0,6.237,0.065,0.0,6.674,18,8,10,COMPLETED
LTIM,LTIMindtree,238,16.195,0.494,0.015,0.0,3.494,0.098,0.0,4.112,18,7,11,COMPLETED
MPHASIS,Mphasis,295,14.413,1.154,0.014,0.0,4.917,0.061,0.0,6.156,18,4,14,COMPLETED
PERSISTENT,Persistent Systems,35,3.123,0.253,0.017,0.0,9.695,0.084,0.0,10.056,18,11,7,COMPLETED
COFORGE,Coforge,45,0.84,0.34,0.014,0.0,6.857,0.071,0.0,7.294,18,9,9,COMPLETED
LTTS,L&T Technology Services,444,20.001,0.281,0.006,0.0,2.576,0.029,0.0,2.909,18,7,11,COMPLETED
TATAELXSI,Tata Elxsi,47,1.269,0.253,0.007,0.0,7.229,0.079,0.0,7.577,18,8,10,COMPLETED
OFSS,Oracle Financial Services Software,25,0.391,0.29,0.011,0.0,6.084,0.103,0.0,6.499,18,11,7,COMPLETED
KPITTECH,KPIT Technologies,61,5.193,0.527,0.01,0.0,7.731,0.086,0.0,8.369,18,6,12,COMPLETED
CYIENT,Cyient,450,15.666,0.253,0.005,0.0,2.075,0.056,0.0,2.406,18,2,16,COMPLETED
BSOFT,Birlasoft,27,0.481,0.304,0.014,0.0,10.451,0.087,0.0,10.866,18,12,6,COMPLETED
ZENSARTECH,Zensar Technologies,54,0.685,0.244,0.011,0.0,6.279,0.067,0.0,6.611,18,11,7,COMPLETED
TATATECH,Tata Technologies,25,0.683,0.537,0.015,0.0,9.212,0.149,0.0,9.923,18,8,10,COMPLETED
HAPPSTMNDS,Happiest Minds Technologies,39,1.642,0.2,0.009,0.0,4.906,0.07,0.0,5.192,18,9,9,COMPLETED
SONATSOFTW,Sonata Software,40,8.931,21.627,0.022,0.0,1859.261,0.183,0.0,1881.105,18,12,6,COMPLETED
HEXAWARE,Hexaware Technologies,206,9.043,1.507,0.027,0.0,9.163,0.142,0.0,10.891,18,6,12,COMPLETED
MINDTREE,Mindtree (legacy symbol),238,16.195,0.638,0.047,0.0,7.996,0.166,0.0,8.86,18,7,11,COMPLETED
NEWGEN,Newgen Software Technologies,30,0.471,0.484,0.016,0.0,11.225,0.172,0.0,11.911,18,9,9,COMPLETED
TANLA,Tanla Platforms,43,0.975,0.482,0.021,0.0,15.977,0.163,0.0,16.657,18,7,11,COMPLETED
INTELLECT,Intellect Design Arena,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,18,0,18,NO PDF - PLACEHOLDERS
ROUTE,Route Mobile,35,0.801,0.562,0.022,0.0,11.763,0.116,0.0,12.472,18,8,10,COMPLETED
RATEGAIN,RateGain Travel Technologies,46,11.574,3.398,0.004,0.0,51.494,0.084,0.0,54.993,18,2,16,COMPLETED
ECLERX,eClerx Services,37,0.646,0.654,0.042,0.0,21.694,0.133,0.0,22.541,18,11,7,COMPLETED
DATAMATICS,Datamatics Global Services,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,18,0,18,NO PDF - PLACEHOLDERS
MASTEK,Mastek,33,19.276,3.37,0.001,0.0,0.0,0.005,0.0,3.386,18,0,18,COMPLETED
SONACOMS,Sona BLW Precision Forgings,45,0.785,0.335,0.024,0.0,12.211,0.072,0.0,12.651,18,10,8,COMPLETED
HGS,Hinduja Global Solutions,29,2.76,0.877,0.004,0.0,81.844,0.21,0.0,82.941,18,5,13,COMPLETED
NIITLTD,NIIT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,18,0,18,NO PDF - PLACEHOLDERS
E2E,E2E Networks,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,18,0,18,NO PDF - PLACEHOLDERS
AFFLE,Affle India,32,0.562,0.34,0.011,0.0,9.259,0.118,0.0,9.74,18,9,9,COMPLETED
MPSLTD,MPS,33,0.818,0.524,0.015,0.0,30.517,0.166,0.0,31.231,18,8,10,COMPLETED
SUBEXLTD,Subex,23,0.486,0.243,0.01,0.0,10.027,0.093,0.0,10.384,18,8,10,COMPLETED
SIS,Security and Intelligence Services,41,0.7,0.38,0.024,0.0,12.939,0.104,0.0,13.456,18,9,9,COMPLETED
ZOMATO,Eternal (formerly Zomato),65,0.886,0.542,0.018,0.0,14.407,0.136,0.0,15.115,18,7,11,COMPLETED
PAYTM,One 97 Communications,54,0.74,0.355,0.015,0.0,15.853,0.14,0.0,16.377,18,6,12,COMPLETED
POLICYBZR,PB Fintech,48,4.081,0.362,0.016,0.0,8.253,0.144,0.0,8.784,18,6,12,COMPLETED
DELHIVERY,Delhivery,25,0.697,0.485,0.042,0.002,13.779,0.091,0.0,14.43,18,11,7,COMPLETED
NAZARA,Nazara Technologies,33,0.537,0.603,0.026,0.0,30.413,0.117,0.0,31.168,18,10,8,COMPLETED
TATACOMM,Tata Communications,71,4.098,0.479,0.088,0.0,14.922,0.174,0.0,15.688,18,8,10,COMPLETED
INDUSTOWER,Indus Towers,253,18.462,0.506,0.022,0.0,10.383,0.124,0.0,11.049,18,7,11,COMPLETED
BHARTIARTL,Bharti Airtel,16,0.488,0.427,0.022,0.0,16.174,0.14,0.0,16.772,18,10,8,COMPLETED
TEJASNET,Tejas Networks,31,0.32,0.396,0.018,0.001,18.289,0.16,0.0,18.872,18,10,8,COMPLETED
REDINGTON,Redington,17,0.568,0.421,0.022,0.0,15.25,0.091,0.0,15.795,18,13,5,COMPLETED
HCL-INFO,HCL Infosystems,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,18,0,18,NO PDF - PLACEHOLDERS
MAZDOCK,Mazagon Dock Shipbuilders,64,1.306,0.373,0.02,0.0,11.937,0.11,0.0,12.454,18,7,11,COMPLETED
TITAN,Titan Company,53,0.779,1.079,0.015,0.001,46.16,0.085,0.0,47.347,18,8,10,COMPLETED
