Company_Code,Company_Name,Metric_Category,Metric_Name,Metric_Value,Unit,Page_Number,Verified,Extraction_Method,Confidence_Score,Validation_Status,Needs_Manual_Review,Extraction_Date,Notes
TCS,Tata Consultancy Services,Environmental,Total Energy Consumption,2630.0,GWh,10.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: energy consumption; Within expected range
TCS,Tata Consultancy Services,Environmental,Renewable Energy Percentage,79.0,%,6.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: renewable energy; Within expected range
TCS,Tata Consultancy Services,Environmental,Total Water Consumption,2871784.0,KL,25.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: water consumption; Within expected range
TCS,Tata Consultancy Services,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TCS,Tata Consultancy Services,Environmental,Total Waste Generated,48.1,MT,29.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: hazardous waste; Within expected range
TCS,Tata Consultancy Services,Environmental,Waste Recycled Percentage,56.0,%,11.0,Auto-extracted,text_window,0.6,Valid,False,2026-09-02,Method: text_window; Keyword: recycling; Within expected range
TCS,Tata Consultancy Services,Social,Total Employees,3.0,Count,4.0,Auto-extracted (Needs Review),table,0.55,Outlier/Suspect,True,2026-09-02,Outside expected bounds 100-10000000; Method: table; Keyword: total employees
TCS,Tata Consultancy Services,Social,Female Employee Percentage,0.06,%,22.0,Auto-extracted (Needs Review),keyword_context,0.4,Outlier/Suspect,True,2026-09-02,"Very low value, verify manually; Method: keyword_context; Keyword: female employees"
TCS,Tata Consultancy Services,Social,Employee Turnover Rate,1.0,%,10.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: turnover; Within expected range
TCS,Tata Consultancy Services,Social,Training Hours per Employee,,Hours,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TCS,Tata Consultancy Services,Social,Health and Safety Incidents,2025.0,Count,16.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: lost time injury; Within expected range
TCS,Tata Consultancy Services,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TCS,Tata Consultancy Services,Governance,Board Size,8.0,Count,4.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: board of directors; Within expected range
TCS,Tata Consultancy Services,Governance,Independent Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TCS,Tata Consultancy Services,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TCS,Tata Consultancy Services,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TCS,Tata Consultancy Services,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
TCS,Tata Consultancy Services,Governance,Ethics Policy Violations,10.0,Count,5.0,Auto-extracted,table,0.9,Valid,False,2026-09-02,Method: table; Keyword: complaints; Within expected range
INFY,Infosys,Environmental,Total Energy Consumption,77.7,GWh,26.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-02,Method: keyword_context; Keyword: electricity; Within expected range
INFY,Infosys,Environmental,Renewable Energy Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-02,Not found in PDF. Check manually.
