Company_Code,Company_Name,Environmental_Score,Social_Score,Governance_Score,Master_ESG_Score,Master_ESG_Score_Base,Risk_Level,Consistency_Score,Contradiction_Count,Highest_Contradiction_Severity,Contradiction_Summary,Quality_Score,Quality_Gate_Status,BRSR_Completeness_Pct,Review_Flag_Count,Missing_Extraction_Failed_Count,Missing_Not_Disclosed_Count,Missing_Not_Available_Sources,Environmental_Weight,Social_Weight,Governance_Weight,Analysis_Date,renewable_energy_pct,renewable_score,location_environmental_score,transparency_trust_score,final_environmental_score,component_count,news_sentiment_score,positive_articles,negative_articles,total_articles,final_social_score,stock_performance_score,disclosure_transparency_score,avg_trust_score,final_governance_score,water_recycled_pct,water_score,female_employee_pct,diversity_score,independent_directors_pct,independence_score,training_hours,training_score,External_Benchmark_Score,Project_Rank,Benchmark_Rank,Rank_Deviation,Rank_Alignment_Status,Rank_Spearman_Correlation
TCS,Tata Consultancy Services,5.3,10.0,6.180555555555555,6.929791666666667,7.150388888888889,Medium,7.0,1,High,CV-001,5.17,Pass,61.11,9,7,7,0,0.33,0.33,0.34,2026-09-03,79.0,7.9,2.0,6.0,5.3,2,10.0,22,0,22,10.0,7.0,6.111111111111112,4.611111111111111,6.180555555555555,,,,,,,,,7.233,2,1,1,Aligned,0.662
INFY,Infosys,6.0,9.0,4.796296296296297,6.796555555555556,6.580740740740741,Medium,10.0,0,None,No contradictions detected,3.61,Low-Quality Warning,44.44,11,10,10,0,0.33,0.33,0.34,2026-09-03,,,2.0,6.0,6.0,3,10.0,23,0,23,9.0,6.0,4.444444444444445,4.333333333333333,4.796296296296297,100.0,10.0,39.0,8.0,0.98,4.0,,,6.856,4,3,1,Aligned,0.662
WIPRO,Wipro,4.0,9.0,5.875,6.6656249999999995,6.2875,Medium,10.0,0,None,No contradictions detected,4.5,Low-Quality Warning,50.0,9,9,9,0,0.33,0.33,0.34,2026-09-03,,,2.0,6.0,4.0,2,10.0,20,0,20,9.0,7.0,5.0,4.5,5.875,,,37.0,8.0,,,,,7.054,5,2,3,Deviation-Review,0.662
HCLTECH,HCL Technologies,4.333333333333333,10.0,4.986111111111111,6.346958333333333,6.425277777777778,Medium,8.0,1,Medium,CV-001,3.28,Low-Quality Warning,38.89,11,11,11,0,0.33,0.33,0.34,2026-09-03,50.0,5.0,2.0,6.0,4.333333333333333,2,10.0,18,0,18,10.0,6.0,3.888888888888889,4.055555555555555,4.986111111111111,,,40.0,10.0,,,,,6.751,6,5,1,Aligned,0.662
TECHM,Tech Mahindra,4.0,10.0,5.694444444444445,6.8060833333333335,6.556111111111111,Medium,10.0,0,None,No contradictions detected,3.89,Low-Quality Warning,44.44,10,10,10,0,0.33,0.33,0.34,2026-09-03,,,2.0,6.0,4.0,2,10.0,13,0,13,10.0,7.0,4.444444444444445,4.333333333333333,5.694444444444445,,,,,,,,,6.826,3,4,1,Aligned,0.662
LTIM,LTIMindtree,4.0,5.814814814814814,4.013888888888889,5.200708333333334,4.603611111111111,Medium-High,10.0,0,None,No contradictions detected,2.48,Low-Quality Warning,38.89,11,11,11,1,0.33,0.33,0.34,2026-09-03,,,2.0,6.0,4.0,2,9.444444444444445,17,1,18,5.814814814814814,,3.888888888888889,4.166666666666667,4.013888888888889,,,14.4,4.0,7.0,4.0,4.0,4.0,4.0,12,16,4,Deviation-Review,0.662
MPHASIS,Mphasis,2.5,10.0,2.9444444444444446,5.381583333333333,5.126111111111111,Medium-High,10.0,0,None,No contradictions detected,0.37,Low-Quality Warning,22.22,15,14,14,1,0.33,0.33,0.34,2026-09-03,,,2.0,3.0,2.5,1,10.0,7,0,7,10.0,,2.2222222222222223,3.6666666666666665,2.9444444444444446,,,,,,,,,3.667,11,19,8,Deviation-Review,0.662
PERSISTENT,Persistent Systems,,9.0,5.472222222222222,,,High,10.0,0,None,No contradictions detected,4.92,Low-Quality Warning,61.11,7,7,7,1,0.33,0.33,0.34,2026-09-03,100.0,10.0,,6.0,,1,10.0,8,0,8,9.0,,6.111111111111112,4.833333333333333,5.472222222222222,,,35.0,8.0,,,,,4.833,13,8,5,Deviation-Review,0.662
COFORGE,Coforge,,7.0,4.75,,,High,10.0,0,None,No contradictions detected,3.42,Low-Quality Warning,50.0,10,9,9,1,0.33,0.33,0.34,2026-09-03,,,,3.0,,1,10.0,10,0,10,7.0,,5.0,4.5,4.75,,,,,,,3.0,4.0,4.5,14,12,2,Deviation-Review,0.662
LTTS,L&T Technology Services,2.5300000000000002,10.0,4.027777777777778,5.848258333333333,5.5043444444444445,Medium-High,10.0,0,None,No contradictions detected,2.2,Low-Quality Warning,38.89,12,11,11,1,0.33,0.33,0.34,2026-09-03,10.6,1.06,2.0,6.0,2.5300000000000002,1,10.0,1,0,1,10.0,,3.888888888888889,4.166666666666667,4.027777777777778,10.6,1.06,,,,,278.2,10.0,4.167,10,14,4,Deviation-Review,0.662
TATAELXSI,Tata Elxsi,4.371666666666666,10.0,4.333333333333334,6.1429875,6.215983333333334,Medium,8.0,1,Medium,CV-001,2.81,Low-Quality Warning,44.44,11,10,10,1,0.33,0.33,0.34,2026-09-03,51.15,5.114999999999999,2.0,6.0,4.371666666666666,1,10.0,8,0,8,10.0,,4.444444444444445,4.222222222222222,4.333333333333334,,,,,,,,,4.333,8,13,5,Deviation-Review,0.662
OFSS,Oracle Financial Services Software,4.0,8.0,4.736111111111111,6.114708333333334,5.570277777777777,Medium,10.0,0,None,No contradictions detected,4.37,Low-Quality Warning,61.11,9,7,7,1,0.33,0.33,0.34,2026-09-03,,,2.0,6.0,4.0,2,10.0,4,0,4,8.0,,6.111111111111112,4.833333333333333,4.736111111111111,,,26.42,6.0,30.0,4.0,,,4.833,9,9,0,Aligned,0.662
KPITTECH,KPIT Technologies,,10.0,3.6666666666666665,,,High,10.0,0,None,No contradictions detected,1.87,Low-Quality Warning,33.33,12,12,12,1,0.33,0.33,0.34,2026-09-03,,,,3.0,,1,10.0,4,0,4,10.0,,3.333333333333333,4.0,3.6666666666666665,,,,,,,,,4.0,15,18,3,Deviation-Review,0.662
CYIENT,Cyient,,10.0,2.166666666666667,,,High,10.0,0,None,No contradictions detected,0.0,Low-Quality Warning,11.11,17,16,16,1,0.33,0.33,0.34,2026-09-03,60.0,6.0,,3.0,,1,10.0,15,0,15,10.0,,1.1111111111111112,3.2222222222222223,2.166666666666667,,,,,,,,,3.333,16,20,4,Deviation-Review,0.662
BSOFT,Birlasoft,,10.0,5.833333333333333,,,High,10.0,0,None,No contradictions detected,5.26,Pass,66.67,7,6,6,1,0.33,0.33,0.34,2026-09-03,40.0,4.0,,6.0,,1,10.0,14,0,14,10.0,,6.666666666666666,5.0,5.833333333333333,,,,,,,,,5.0,17,6,11,Deviation-Review,0.662
ZENSARTECH,Zensar Technologies,,8.666666666666666,5.472222222222222,,,High,10.0,0,None,No contradictions detected,4.92,Low-Quality Warning,61.11,7,7,7,1,0.33,0.33,0.34,2026-09-03,90.0,9.0,,6.0,,1,10.0,5,0,5,8.666666666666666,,6.111111111111112,4.833333333333333,5.472222222222222,,,35.0,8.0,,,30.0,8.0,4.833,18,10,8,Deviation-Review,0.662
TATATECH,Tata Technologies,,9.166666666666666,4.388888888888889,,,High,10.0,0,None,No contradictions detected,3.09,Low-Quality Warning,44.44,10,10,10,1,0.33,0.33,0.34,2026-09-03,,,,6.0,,1,9.166666666666666,11,1,12,9.166666666666666,,4.444444444444445,4.333333333333333,4.388888888888889,,,,,,,,,4.083,19,15,4,Deviation-Review,0.662
HAPPSTMNDS,Happiest Minds Technologies,3.071,10.0,4.75,6.316322500000001,5.9284300000000005,Medium,10.0,0,None,No contradictions detected,3.7,Low-Quality Warning,50.0,9,9,9,1,0.33,0.33,0.34,2026-09-03,12.13,1.213,2.0,6.0,3.071,1,10.0,4,0,4,10.0,,5.0,4.5,4.75,,,,,,,,,4.5,7,11,4,Deviation-Review,0.662
SONATSOFTW,Sonata Software,4.0,10.0,7.916666666666666,7.481750000000001,7.311666666666667,Low-Medium,10.0,0,None,No contradictions detected,4.98,Low-Quality Warning,66.67,8,6,6,1,0.33,0.33,0.34,2026-09-03,,,2.0,6.0,4.0,2,10.0,7,0,7,10.0,,6.666666666666666,5.0,7.916666666666666,,,,,100.0,10.0,,,5.0,1,7,6,Deviation-Review,0.662
HEXAWARE,Hexaware Technologies,,10.0,3.6666666666666665,,,High,10.0,0,None,No contradictions detected,1.59,Low-Quality Warning,33.33,13,12,12,1,0.33,0.33,0.34,2026-09-03,83.0,8.299999999999999,,6.0,,1,10.0,8,0,8,10.0,,3.333333333333333,4.0,3.6666666666666665,,,,,,,,,4.0,20,17,3,Deviation-Review,0.662
