Company_Code,Company_Name,Article_Title,Article_Date,Sentiment_Score,Sentiment_Class,Positive_Score,Negative_Score,Neutral_Score,ESG_Relevance_Score,Is_ESG_Relevant,Matched_ESG_Keywords,Matched_Non_ESG_Keywords,Analysis_Date
TCS,Tata Consultancy Services,"Stocks to Watch Today: Infosys, ICICI Bank, HDFC Bank, HDFC Life, NIIT, ABB India, Tata Elxsi, Just Dial, TCS in focus on 21 April Let's catch up on the latest news from the stock market. From signifi",2025-04-21,0.9985,Positive,0.115,0.018,0.868,1,True,labor,,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: Manappuram Finance, Hero MotoCorp, Hindalco, Glenmark, TCS, Lloyds Metals, CDSL, RailTel in focus on 21 March Let's catch up on the latest news from the stock market. From signi",2025-03-21,0.9988,Positive,0.109,0.014,0.877,5,True,"sustainable, environment, labor, compliance, csr",,2026-09-03
TCS,Tata Consultancy Services,Tata Consultancy Services shares gain 0.5% in trade Shares of Tata Consultancy Services were trading higher in Tuesday's session. The stock has seen an increase of 0.5 percent amid gains in the IT sec,2025-07-22,0.9983,Positive,0.081,0.01,0.908,1,True,labor,,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: TCS, Zydus Lifesciences, RPP Infra Projects, LIC Housing, Galaxy Surfactants, Route Mobile in focus on 6 March Let's catch up on the latest news from the stock market. From sign",2025-03-06,0.9983,Positive,0.128,0.011,0.861,3,True,"water, green energy, labor",,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: TCS, Biocon, GAIL, Greaves Cotton, Sun Pharma, Dishman Carbogen Amcis, Coromandel International in focus on 11 April Let's catch up on the latest news from the stock market. Fro",2025-04-11,0.9984,Positive,0.096,0.018,0.886,3,True,"renewable, labor, governance",,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: TCS, Cryogenic OGS, Embassy REIT, Indosolar, Enviro Infra Engineers, Emcure Pharma, HCL Technologies, Crizac in focus on 10 July Let's catch up on the latest news from the stock",2025-07-10,0.9966,Positive,0.114,0.012,0.874,2,True,"renewable, labor",,2026-09-03
TCS,Tata Consultancy Services,TCS’s Q1 show misses the mark; what this means for the broader IT landscape India’ largest information technology services player Tata Consultancy Services (TCS) kicked off the earnings season for the,2025-07-14,0.9662,Positive,0.082,0.05,0.868,1,True,governance,,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: TCS, PB Fintech, Bharti Airtel, Rail Vikas Nigam, Kaynes Technology, Godrej Agrovet in focus on 12 March Let's catch up on the latest news from the stock market. From significan",2025-03-12,0.997,Positive,0.11,0.024,0.866,3,True,"renewable, green energy, violation",,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: TCS, Tata Elxsi, Anand Rathi, IREDA, Hindustan Unilever, Glenmark Pharma, Aegis Logistics, Meta Infotech in focus on 11 July Let's catch up on the latest news from the stock mar",2025-07-11,0.9979,Positive,0.122,0.017,0.861,1,True,renewable,,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: Ashok Leyland, Dixon Tech, Zydus Lifesciences, ICICI Lombard, HDB Financial, HDFC Life, Jindal Steel, Biocon in focus on 16 July Let's catch up on the latest news from the stock",2025-07-16,0.9926,Positive,0.09,0.031,0.879,1,True,labor,,2026-09-03
TCS,Tata Consultancy Services,"Clients adjusting to uncertainty, discretionary spend reviving only in pockets: Wipro Chairman Rishad Premji Information technology firm Wipro’s Chairman Rishad Premji said on July 16 that clients acr",2025-07-16,0.5097,Positive,0.05,0.054,0.896,1,True,environment,,2026-09-03
TCS,Tata Consultancy Services,"Buy, hold or sell? Analysts revise IT calls amid headcount woes, AI, disappointing Q1 India’s top IT services companies saw a shift in brokerage sentiment following their June-quarter earnings, amid m",2025-07-30,0.9669,Positive,0.091,0.074,0.835,1,True,"sustainable, environment",brokerage,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: Vishal Mega Mart, Biocon, TCS, Mastek, HCL Tech, ICICI Bank, Tanla Platforms, Zee Entertainment, IndiaMART in focus on 17 June Let's catch up on the latest news from the stock m",2025-06-17,0.9985,Positive,0.129,0.017,0.854,2,True,"renewable, labor",,2026-09-03
TCS,Tata Consultancy Services,Retail investors bet big on turnaround stories in hopes of a jackpot India’s retail investors seem to be undergoing a strategic pivot—turning away from legacy giants in IT and increasingly flocking to,2025-06-18,0.9982,Positive,0.165,0.017,0.818,2,True,"renewable, safety",,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: Zen Technologies, NLC India, Bajel Projects, Bharat Electronics, Granules India, Waaree Renewable in focus on 23 June Let's catch up on the latest news from the stock market. Fr",2025-06-23,0.9986,Positive,0.118,0.017,0.865,2,True,"renewable, green energy",,2026-09-03
TCS,Tata Consultancy Services,"How TCS, Infosys, HCLTech, Wipro and Tech Mahindra fared in Q1FY26 The first quarter of fiscal FY26 was a mixed bag for the top five Indian IT majors - Tata Consultancy Services (TCS), Infosys, HCLTec",2025-07-25,0.9994,Positive,0.14,0.035,0.824,1,True,environment,,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: IndusInd Bank , Adani Total Gas, MGL, Oil India, Vedanta, Aster DM Healthcare, IREDA, ICICI Prudential Life in focus on 16 April Let's catch up on the latest news from the stock",2025-04-16,0.9972,Positive,0.092,0.027,0.88,3,True,"carbon, water, renewable",,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: TCS, Quess Corp, Power Grid Corporation, Eris Lifesciences, Omaxe, Kalpataru Projects, Biocon in focus on 7 March Let's catch up on the latest news from the stock market. From s",2025-03-07,0.9978,Positive,0.095,0.009,0.896,1,True,labor,,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: Wipro, HDFC Bank, Alkem Labs, Aditya Birla Fashion, Indegene, Tata Technologies, Servotech, Scoda Tubes in focus on 4 June Let's catch up on the latest news from the stock marke",2025-06-04,0.9993,Positive,0.138,0.019,0.843,4,True,"renewable, sustainable, labor, governance",,2026-09-03
TCS,Tata Consultancy Services,"Stocks to Watch Today: TCS, Hindalco, RBL Bank, United Breweries, Godfrey Phillips, Kisan Mouldings, KNR Construction in focus on 14 February Let's catch up on the latest news from the stock market. F",2025-02-14,0.9984,Positive,0.104,0.014,0.882,2,True,"labor, violation",,2026-09-03
