Company_Code,Company_Name,Metric_Category,Metric_Name,Claimed_Value,Metric_Unit,Claim_Verified,Verification_Details,Discrepancy_Detected,Discrepancy_Level,Trust_Score,Risk_Score,Actual_Environmental_Score,Analysis_Date
TCS,Tata Consultancy Services,Environmental,Total Energy Consumption,2630.0,GWh,Reported,Environmental metric: 2630.0,False,None,6.0,1,2.0,2026-09-03
TCS,Tata Consultancy Services,Environmental,Renewable Energy Percentage,79.0,%,Suspicious,Claims 79.0% renewable but low env score (2.0/10),True,High,2.0,8,2.0,2026-09-03
TCS,Tata Consultancy Services,Environmental,Total Water Consumption,2871784.0,KL,Reported,Environmental metric: 2871784.0,False,None,6.0,1,2.0,2026-09-03
TCS,Tata Consultancy Services,Environmental,Water Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TCS,Tata Consultancy Services,Environmental,Total Waste Generated,48.1,MT,Reported,Environmental metric: 48.1,False,None,6.0,1,2.0,2026-09-03
TCS,Tata Consultancy Services,Environmental,Waste Recycled Percentage,56.0,%,Reported,Environmental metric: 56.0,False,None,6.0,1,2.0,2026-09-03
TCS,Tata Consultancy Services,Social,Total Employees,3.0,Count,Reported,Social metric: 3.0,False,None,6.0,1,2.0,2026-09-03
TCS,Tata Consultancy Services,Social,Female Employee Percentage,0.06,%,Reported,Social metric: 0.06,False,None,6.0,1,2.0,2026-09-03
TCS,Tata Consultancy Services,Social,Employee Turnover Rate,1.0,%,Reported,Social metric: 1.0,False,None,6.0,1,2.0,2026-09-03
TCS,Tata Consultancy Services,Social,Training Hours per Employee,,Hours,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TCS,Tata Consultancy Services,Social,Health and Safety Incidents,2025.0,Count,Reported,Social metric: 2025.0,False,None,6.0,1,2.0,2026-09-03
TCS,Tata Consultancy Services,Social,CSR Expenditure,,Crores INR,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TCS,Tata Consultancy Services,Governance,Board Size,8.0,Count,Reported,Governance metric: 8.0,False,None,6.0,1,2.0,2026-09-03
TCS,Tata Consultancy Services,Governance,Independent Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TCS,Tata Consultancy Services,Governance,Female Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TCS,Tata Consultancy Services,Governance,Board Meeting Frequency,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TCS,Tata Consultancy Services,Governance,Audit Committee Size,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TCS,Tata Consultancy Services,Governance,Ethics Policy Violations,10.0,Count,Reported,Governance metric: 10.0,False,None,6.0,1,2.0,2026-09-03
